via_id,via_name,to_id,to_name,duration,distance
0,法国教堂,1,基督教会山西路教堂,11分钟,870米
0,法国教堂,2,原安里甘教堂,23分钟,1.8公里
0,法国教堂,3,望海楼教堂,48分钟,3.9公里
0,法国教堂,4,天津市基督教会塘沽堂,8小时56分钟,43.3公里
0,法国教堂,5,清真寺,55分钟,4.4公里
0,法国教堂,6,天主堂,4小时21分钟,21.1公里
0,法国教堂,7,杨村清真北大寺,6小时54分钟,33.5公里
0,法国教堂,8,向阳天主教堂,4小时,19.4公里
0,法国教堂,9,滨海清真大寺,9小时3分钟,43.9公里
1,基督教会山西路教堂,2,原安里甘教堂,26分钟,2.1公里
1,基督教会山西路教堂,3,望海楼教堂,38分钟,3.0公里
1,基督教会山西路教堂,4,天津市基督教会塘沽堂,8小时59分钟,43.6公里
1,基督教会山西路教堂,5,清真寺,47分钟,3.7公里
1,基督教会山西路教堂,6,天主堂,4小时22分钟,21.2公里
1,基督教会山西路教堂,7,杨村清真北大寺,6小时46分钟,32.9公里
1,基督教会山西路教堂,8,向阳天主教堂,3小时59分钟,19.3公里
1,基督教会山西路教堂,9,滨海清真大寺,9小时7分钟,44.2公里
2,原安里甘教堂,3,望海楼教堂,52分钟,4.1公里
2,原安里甘教堂,4,天津市基督教会塘沽堂,8小时33分钟,41.6公里
2,原安里甘教堂,5,清真寺,1小时8分钟,5.5公里
2,原安里甘教堂,6,天主堂,4小时3分钟,19.7公里
2,原安里甘教堂,7,杨村清真北大寺,7小时2分钟,34.2公里
2,原安里甘教堂,8,向阳天主教堂,3小时49分钟,18.5公里
2,原安里甘教堂,9,滨海清真大寺,8小时41分钟,42.1公里
3,望海楼教堂,4,天津市基督教会塘沽堂,9小时16分钟,45.0公里
3,望海楼教堂,5,清真寺,30分钟,2.4公里
3,望海楼教堂,6,天主堂,4小时27分钟,21.6公里
3,望海楼教堂,7,杨村清真北大寺,6小时13分钟,30.2公里
3,望海楼教堂,8,向阳天主教堂,3小时56分钟,19.1公里
3,望海楼教堂,9,滨海清真大寺,9小时23分钟,45.6公里
4,天津市基督教会塘沽堂,5,清真寺,9小时38分钟,46.8公里
4,天津市基督教会塘沽堂,6,天主堂,5小时33分钟,26.9公里
4,天津市基督教会塘沽堂,7,杨村清真北大寺,15小时18分钟,74.3公里
4,天津市基督教会塘沽堂,8,向阳天主教堂,7小时30分钟,36.4公里
4,天津市基督教会塘沽堂,9,滨海清真大寺,38分钟,3.0公里
5,清真寺,6,天主堂,4小时56分钟,23.9公里
5,清真寺,7,杨村清真北大寺,6小时17分钟,30.5公里
5,清真寺,8,向阳天主教堂,4小时25分钟,21.4公里
5,清真寺,9,滨海清真大寺,9小时46分钟,47.4公里
6,天主堂,7,杨村清真北大寺,10小时3分钟,48.8公里
6,天主堂,8,向阳天主教堂,2小时22分钟,11.4公里
6,天主堂,9,滨海清真大寺,5小时39分钟,27.4公里
7,杨村清真北大寺,8,向阳天主教堂,8小时45分钟,42.5公里
7,杨村清真北大寺,9,滨海清真大寺,15小时13分钟,74.0公里
8,向阳天主教堂,9,滨海清真大寺,7小时,34.0公里